Región,Precio,Habitaciones,Baños,Superfície,Dirección,Tipo de inmueble,Orientación,Estado,Antigüedad,Planta,Ascensor,Amueblado,Consumo energía,Emisiones,Calefacción,Agua caliente,Parking
Madrid,249.000 €,2 habs.,1 baño,58 m²,Ponferrada - Pilar,Piso,Este,Casi nuevo,50 a 70 años,7ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,249.000 €,2 habs.,1 baño,54 m²,Sarria - Pilar,Piso,Sur,Casi nuevo,50 a 70 años,2ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,239.000 €,2 habs.,1 baño,51 m²,Puentedeume - Pilar,Piso,Este,Casi nuevo,50 a 70 años,1ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,249.000 €,2 habs.,1 baño,55 m²,Sarria - Pilar,Piso,Norte,Casi nuevo,50 a 70 años,4ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,249.000 €,4 habs.,1 baño,85 m²,Avenida de Los Apóstoles - Puerta del Ángel,Piso,,Bien,50 a 70 años,4ª planta,,,"G
210 kW h m² / año","G
125 kg CO₂ m² / año",Gas Natural,,
Madrid,240.000 €,2 habs.,1 baño,55 m²,Calle Aguila - Palacio,Piso,,Muy bien,+ 100 años,2ª planta,,,"G
999 kW h m² / año","G
99 kg CO₂ m² / año",Electricidad,,
Madrid,450.000 €,5 habs.,2 baños,150 m²,Madrid - Alto Extremadura,Piso,,,,3ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,350.000 €,6 habs.,1 baño,155 m²,Paseo de Los Olivos - Puerta del Ángel,Casa o chalet,,,,,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,,,,,,,,,,,,,,,,,
Madrid,135.000 €,2 habs.,1 baño,54 m²,Calle de Navalmoral de la Mata - Las Águilas,Piso,Noreste,Muy bien,50 a 70 años,Bajos,Sí,,"E
262 kW h m² / año","E
48 kg CO₂ m² / año",Gas Natural,Gas Natural,
Madrid,156.000 €,2 habs.,1 baño,30 m²,Calle Caceres - Delicias,Piso,,A reformar,+ 100 años,1ª planta,,,"G
400 kW h m² / año","G
400 kg CO₂ m² / año",,,
Madrid,820.000 €,4 habs.,3 baños,189 m²,Avenida del Mediterráneo - Niño Jesús,Piso,Sur,Bien,30 a 50 años,6ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",Gas Natural,Gas Natural,Privado
Madrid,345.000 €,3 habs.,1 baño,76 m²,Calle de Bravo Murillo - Berruguete,Piso,,Bien,50 a 70 años,3ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,315.000 €,3 habs.,1 baño,65 m²,Feijoo - Trafalgar,Piso,Norte,A reformar,,4ª planta,Sí,,"E
999 kW h m² / año","E
999 kg CO₂ m² / año",,Gas Natural,
Madrid,189.000 €,2 habs.,1 baño,54 m²,Madrid - Zona de - Fuencarral-El Pardo - Distrito - Pilar,Piso,Norte,Bien,50 a 70 años,,Sí,,"E
999 kW h m² / año","E
999 kg CO₂ m² / año",Gas Natural,,
Madrid,725.000 €,1 hab.,2 baños,110 m²,De María de Guzmán - Ríos Rosas - Nuevos Ministerios,Ático,,,,7ª planta,Sí,Sí,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,159.900 €,3 habs.,1 baño,80 m²,Via Lusitana - Abrantes,Piso,,,,3ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,159.900 €,3 habs.,1 baño,79 m²,Alcatraz - Opañel,Piso,,,,3ª planta,,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
Madrid,174.000 €,1 hab.,1 baño,62 m²,Carabanchel - Vista Alegre,Piso,,,,1ª planta,Sí,,"G
999 kW h m² / año","G
999 kg CO₂ m² / año",,,
